PERMNO,betav
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10028,0.24393
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10051,0.76976
10065,0.92478
10065,0.92478
10065,0.92478
10065,0.92478
10065,0.92478
10065,0.92478
10065,0.92478
10065,0.92478
10104,1.00325
10104,1.00325
10104,1.00325
10104,1.00325
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10145,1.15077
10158,0.98525
10158,0.98525
10158,0.98525
10201,1.18179
10201,1.18179
10220,1.26033
10220,1.26033
10220,1.26033
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10253,-0.52635
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10308,0.86866
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10375,1.26484
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10516,1.22784
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10517,1.23654
10606,1.16254
10606,1.16254
10606,1.16254
10606,1.16254
10606,1.16254
10606,1.16254
10606,1.16254
10629,1.39786
10629,1.39786
10629,1.39786
10629,1.39786
10629,1.39786
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10693,1.26036
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10779,0.50112
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10866,2.06263
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10874,2.05065
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10890,2.33806
10932,1.56219
10932,1.56219
10932,1.56219
10932,1.56219
10932,1.56219
10933,0.85222
10933,0.85222
10933,0.85222
10933,0.85222
10933,0.85222
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
10952,0.94834
11003,0
11003,0
11003,0
11003,0
11018,1.51712
11018,1.51712
11018,1.51712
11018,1.51712
11018,1.51712
11018,1.51712
11018,1.51712
11018,1.51712
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11144,1.60913
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11203,0.67777
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11208,1.37637
11267,0.63945
11267,0.63945
11267,0.63945
11267,0.63945
11308,0.25074
11308,0.25074
11308,0.25074
11308,0.25074
11308,0.25074
11308,0.25074
11361,1.23274
11370,1.42527
11370,1.42527
11370,1.42527
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11404,0.29201
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11533,1.3408
11581,2.35827
