fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2018,AIR,20,2010,201010,20101010,423860,5080,B,1517.2,952.5,589,611.3,357.5,187.8,905.9,668.9,2051.8,1679.5,1898.3,7.5,67.4,-19,-48.7
2019,AIR,20,2010,201010,20101010,423860,5080,B,2079,1438.7,692.7,1176.4,383.1,191.6,902.6,661.4,2089.3,1726.7,1937.2,4.4,-36.1,-24.8,444.5
2018,AAL,20,2030,203020,20302010,481111,4512,C,60580,8637,1522,60749,18096,1773,-169,-5138,44541,31365,38935,1412,3533,-1973,-1672
2019,AAL,20,2030,203020,20302010,481111,4512,C,59995,8206,1851,60113,18311,2062,-118,-4067,45768,32027,39744,1686,3815,-2243,-1568
2018,CECE,20,2020,202010,20201050,333413,3564,C,392.582,160.865,50.511,214.022,103.886,51.984,178.56,-72.842,337.339,222.543,310.005,-7.121,21.952,38.258,-44.9
2019,CECE,20,2020,202010,20201050,333413,3564,C,408.637,179.498,55.383,215.62,115.188,48.762,193.017,-60.849,341.869,225.66,311.638,17.707,10.227,-5.146,-12.116
2018,ASA,40,4020,402030,40203010,523999,6799,,196.072,,0,1.238,,0.183,194.834,174.171,1.629,3.037,3.037,-48.789,,,
2019,ASA,40,4020,402030,40203010,523999,6799,,286.612,,0,0.733,,,285.879,265.216,2.371,3.544,3.544,91.431,,,
2018,AVX,45,4520,452030,45203015,334416,3670,B-,2813.278,1783.727,631.688,429.098,313.185,96.631,2384.18,2117.09,1791.79,1218.876,1387.68,271.813,232.966,-299.677,-77.265
2018,PNW,55,5510,551010,55101010,2211,4911,A,17664.202,924.991,294.094,12315.497,1648.964,277.336,5348.705,2593.475,3691.247,2335.206,2335.206,511.047,1277.144,-1192.824,-92.446
2019,PNW,55,5510,551010,55101010,2211,4911,A,18479.247,1030.03,345.92,12926.059,2078.365,346.448,5553.188,2780.514,3471.209,2208.32,2208.32,538.32,956.726,-1130.977,178.768
2018,PRG,40,4020,402020,40202010,522220,6141,B,2826.692,,15.2,1065.984,,88.369,1760.708,2004.257,3828.923,193.999,1716.782,196.21,356.498,-263.133,-128.968
2019,PRG,40,4020,402020,40202010,522220,6141,B,3297.8,,14,1560.541,,89.959,1737.259,2029.594,3947.656,137.253,1556.306,31.472,317.185,-106.276,-168.552
2018,ABT,35,3510,351010,35101010,334510,3845,B,67173,14632,3796,36451,9012,2975,30722,16974,30578,11377,23016,2368,6300,-1356,-10391
2019,ABT,35,3510,351010,35101010,334510,3845,B,67887,15667,4316,36586,10863,3252,31301,17382,31904,11949,23849,3687,6136,-1815,-4289
2018,WDDD,50,5020,502030,50203010,519130,7370,C,3.846,3.846,0,4.441,4.441,0.798,-0.595,-41.165,0,0,2.893,1.754,-1.89,4.693,0.875
2019,WDDD,50,5020,502030,50203010,519130,7370,C,1.774,1.571,0,3.219,3.219,0.841,-1.445,-42.399,0,0,1.154,-1.234,-1.322,-0.203,-0.75
2018,ACETQ,35,3510,351020,35102010,424690,5160,D,767.024,502.627,137.076,671.739,302.518,106.79,95.285,-127.622,711.359,566.984,695.734,-316.121,101.806,-8.281,-48.863
2018,MRCBF,60,6010,601020,60102010,531,6500,B,11082.758,204.517,0,6853.96,1321.718,185.921,4228.798,3328.93,1157.878,582.076,674.741,319.851,291.404,-559.714,248.278
2019,MRCBF,60,6010,601020,60102010,531,6500,B,11703.084,222.852,0,7397.367,1160.841,185.904,4305.717,3446.48,1192.973,588.047,682.176,186.939,282.414,-561.756,294.513
2018,ACMTA,40,4030,403010,40301040,524126,6351,B,60.875,,0,32.57,,1.202,28.305,27.499,2.751,-1.263,1.354,0.744,0.704,0.168,-1.446
2019,ACMTA,40,4030,403010,40301040,524126,6351,B,58.515,,0,27.318,,0.87,31.197,30.403,4.007,-0.749,1.842,1.522,-1.309,3.678,-3.649
2018,ACU,20,2020,202010,20201060,332215,3420,A-,109.477,72.992,41.332,57.145,13.365,7.983,52.332,45.492,137.321,83.443,126.635,4.598,4.475,-3.231,-6.052
2019,ACU,20,2020,202010,20201060,332215,3420,A-,110.749,73.146,39.261,55.044,16.583,6.693,55.705,49.583,142.457,87.023,130.595,5.514,14.702,-1.68,-10.606
2018,BKTI,45,4520,452010,45201020,334220,3663,B-,39.191,30.856,11.466,11.479,9.883,5.595,27.712,-2.393,49.38,28.482,46.034,-0.195,5.288,3.198,-4.365
2019,BKTI,45,4520,452010,45201020,334220,3663,B-,37.94,23.886,13.513,14.664,9.376,5.31,23.276,-6.043,40.1,23.23,43.266,-2.636,-2.486,-2.455,-1.651
2018,AE,10,1010,101020,10102030,424720,5172,B-,278.87,229.59,22.779,132.272,123.267,116.097,146.598,134.228,1750.213,1729.214,1738.761,2.945,31.014,-19.135,-4.206
2019,AE,10,1010,101020,10102030,424720,5172,B-,330.842,247.324,26.407,179.201,159.577,147.856,151.641,138.44,1811.247,1776.608,1786.806,8.207,46.899,-36.037,-5.673
2018,AMD,45,4530,453010,45301020,334413,3674,B-,4556,3540,845,3290,1984,1061,1266,-7444,6475,3889,5885,337,34,-170,28
2019,AMD,45,4530,453010,45301020,334413,3674,B-,6028,4597,982,3201,2359,1201,2827,-7095,6731,3721,6006,341,493,-149,43
2018,ASMIY,45,4530,453010,45301010,333242,3559,,2115.739,779.245,196.723,236.331,222.398,92.325,1879.408,2194.09,936.619,492.188,732.447,179.901,189.972,-130.575,-689.874
2019,ASMIY,45,4530,453010,45301010,333242,3559,,2440.903,1060.796,194.35,400.044,359.747,134.338,2040.859,2179.986,1262.075,641.695,933.089,369.213,584.468,-124.788,-230.779
2018,AEM,15,1510,151040,15104030,212221,1040,B,7852.843,1072.452,494.15,3302.831,361.449,163.032,4550.012,-1047.008,2191.221,1261.048,1523.591,-326.701,605.65,-1204.368,274.099
2019,AEM,15,1510,151040,15104030,212221,1040,B,8789.885,1193.56,580.068,3678.371,775.638,158.317,5111.514,-695.252,2494.892,901.884,1127.65,473.166,881.692,-873.884,10.61
2018,APD,15,1510,151010,15101040,325120,2810,A,19178.3,5082.2,473.6,8002,2338.3,924.6,11176.3,11668,8930.2,5242.9,6068.2,1497.8,2541.9,-1630.5,-1359.8
