PERMNO,date,TICKER,PRC,RET
10026,20200131,JJSF,165.84,-0.100016
10026,20200228,JJSF,160.82001,-0.03027
10026,20200331,JJSF,121,-0.244031
10026,20200430,JJSF,127.03,0.049835
10026,20200529,JJSF,128.63,0.012595
10026,20200630,JJSF,127.13,-0.007191
10026,20200731,JJSF,123.13,-0.031464
10026,20200831,JJSF,135.95,0.104118
10026,20200930,JJSF,130.39,-0.036668
10026,20201030,JJSF,135.57001,0.039727
10026,20201130,JJSF,145.39,0.072435
10026,20201231,JJSF,155.37,0.072598
10028,20200131,ELA,2.17,0.607407
10028,20200228,ELA,2.66,0.225806
10028,20200331,ELA,2.52,-0.052632
10028,20200430,ELA,3.65,0.448413
10028,20200529,ELA,3.59,-0.016438
10028,20200630,ELA,6.1,0.699164
10028,20200731,ELA,4.23,-0.306557
10028,20200831,ELA,3.88,-0.082742
10028,20200930,ELA,4.29,0.10567
10028,20201030,ELA,4.04,-0.058275
10028,20201130,ELA,4.62,0.143564
10028,20201231,ELA,5.2,0.125541
10032,20200131,PLXS,71.12,-0.075643
10032,20200228,PLXS,66.35,-0.06707
10032,20200331,PLXS,54.56,-0.177694
10032,20200430,PLXS,62.69,0.14901
10032,20200529,PLXS,64.22,0.024406
10032,20200630,PLXS,70.56,0.098723
10032,20200731,PLXS,74.29,0.052863
10032,20200831,PLXS,76.07,0.02396
10032,20200930,PLXS,70.63,-0.071513
10032,20201030,PLXS,69.54,-0.015432
10032,20201130,PLXS,74.71,0.074346
10032,20201231,PLXS,78.21,0.046848
10044,20200131,RMCF,8.32,-0.098592
10044,20200228,RMCF,7.66,-0.064904
10044,20200331,RMCF,4.8,-0.373368
10044,20200430,RMCF,4.55,-0.052083
10044,20200529,RMCF,4.29,-0.057143
10044,20200630,RMCF,4.25,-0.009324
10044,20200731,RMCF,3.32,-0.218824
10044,20200831,RMCF,3.26,-0.018072
10044,20200930,RMCF,2.68,-0.177914
10044,20201030,RMCF,2.68,0
10044,20201130,RMCF,4.27,0.593284
10044,20201231,RMCF,4.05,-0.051522
10051,20200131,HNGR,24.43,-0.115176
10051,20200228,HNGR,23.07,-0.055669
10051,20200331,HNGR,15.58,-0.324664
10051,20200430,HNGR,18.36,0.178434
10051,20200529,HNGR,18.36,0
10051,20200630,HNGR,16.56,-0.098039
10051,20200731,HNGR,17.46,0.054348
10051,20200831,HNGR,19.76,0.13173
10051,20200930,HNGR,15.82,-0.199393
10051,20201030,HNGR,17.47,0.104298
10051,20201130,HNGR,22.69,0.298798
10051,20201231,HNGR,21.99,-0.030851
10065,20200131,ADX,15.86,0.005707
10065,20200228,ADX,14.38,-0.090164
10065,20200331,ADX,12.59,-0.124478
10065,20200430,ADX,14.17,0.125496
10065,20200529,ADX,14.74,0.043754
10065,20200630,ADX,14.91,0.011533
10065,20200731,ADX,15.68,0.051643
10065,20200831,ADX,16.86,0.078444
10065,20200930,ADX,16.21,-0.038553
10065,20201030,ADX,15.56,-0.040099
10065,20201130,ADX,16.68,0.128535
10065,20201231,ADX,17.29,0.036571
10104,20200131,ORCL,52.45,-0.005474
10104,20200228,ORCL,49.46,-0.057007
10104,20200331,ORCL,48.33,-0.022847
10104,20200430,ORCL,52.97,0.100972
10104,20200529,ORCL,53.77,0.015103
10104,20200630,ORCL,55.27,0.027897
10104,20200731,ORCL,55.45,0.007599
10104,20200831,ORCL,57.22,0.031921
10104,20200930,ORCL,59.7,0.043341
10104,20201030,ORCL,56.11,-0.056114
10104,20201130,ORCL,57.72,0.028694
10104,20201231,ORCL,64.69,0.120755
10107,20200131,MSFT,170.23,0.079455
10107,20200228,MSFT,162.00999,-0.045292
10107,20200331,MSFT,157.71001,-0.026541
10107,20200430,MSFT,179.21001,0.136326
10107,20200529,MSFT,183.25,0.025389
10107,20200630,MSFT,203.50999,0.110559
10107,20200731,MSFT,205.00999,0.007371
10107,20200831,MSFT,225.53,0.10258
