tic,ch,dltt,ebit,emp,fatd,tie
AIR,404.7,670.9,108.4,5.4,,
AAL,280,28875,3706,133.7,,
CECE,35.602,81.457,19.622,0.83,,
ASA,4.583,0,-1.173,,,
PNW,10.283,4884.43,671.96,6.21,,
PRG,57.755,626.53,313.931,12.1,,
ABT,3860,17416,5041,107,,
WDDD,1.571,0,-1.154,0.001,,
MRCBF,123.168,4986.278,474.645,,,
ACMTA,1.529,1,1.982,,,
ACU,6.822,38.38,8.429,0.441,,
BKTI,4.676,2.934,-4.385,0.111,,
ADX,,,,,,
AE,112.994,11.699,7.8,0.664,,
AMD,1466,685,583,11.4,,
ASMIY,558.706,17.701,246.43,2.337,,
AEM,321.897,1466.243,812.666,6.487,,
APD,2248.7,3227.4,2120.5,17.7,,
AIRT,5.952,50.609,7.272,0.478,,
EGN1,0,372.2,95.5,0.941,,
SO1,894,8377,1593,6.324,,
ALK,221,2703,1107,24.134,,
ATRI,45.048,0.268,40.529,0.616,,
MATX,21.2,1108,108.3,1.988,,
ALX,298.063,975.806,99.489,0.069,,
AGMJF,18.865,255.094,58.37,1.6,,
ALCO,18.63,156.742,29.828,0.235,,
PBAJ,0,0,-0.014,0,,
Y,1179.098,1992.213,1208.593,10.786,,
HON,9067,11644,7397,113,,
SWKS,851.3,0,1042.1,9,,
GYLD,,,,,,
HES,1545,7733,637,1.775,,
AMR1,267,28072,3688,133.7,,
UHAL,494.352,4268.55,512.313,30,,
ABLT,1.75,4.662,-5.685,,,
ABM,58.5,744.2,225.9,140,,
PRI,256.876,1611.988,505.922,2.803,,
VBF,,,,,,
ECOL,41.281,822.104,74.094,3.8,,
AEP,246.8,26110.6,2592.3,17.408,,
AXP,23932,43003,9582,64.5,,
AXP1,33,16161,1385,0.004,,
AFL,4896,6569,4735,11.729,,
AIG,2856,36083,6617,46,,
HYEM,,,,,,
ANAT,452.001,157.997,694.377,,,
ARL,51.228,419.907,14.547,0,,
AMS,1.429,10.958,2.86,0.014,,
AMSWA,79.814,1.424,6.048,0.428,,
AVD,6.581,155.269,21.601,0.671,,
AME,393.03,2413.912,1177.38,18.1,,
AMGN,6037,27338,9721,23.4,,
AP,6.96,54.145,2.853,1.673,,
AXR,17.502,0.967,0.016,0.016,,
ADI,648.322,5192.252,1806.267,16.4,,
ANDR,0.336,1.842,-0.477,0.009,,
ANDE,54.895,1067.339,90.387,2.32,,
NBR,435.99,3366.616,-76.355,14,,
APA,247,8752,-2627,3.163,,
APOG,14.952,255.663,87.848,7.2,,
AEP1,3.3,4247.2,490.2,1.699,,
AAPL,48844,91807,63930,137,,
AMAT,3129,4713,3372,22,,
EPAC,211.151,452.945,76.316,4.7,,
TREC,6.145,89.433,13.289,0.27,,
AOXY,0.043,0.063,0.019,0.001,,
ADM,852,8453,1671,38.1,,
PNW1,10.169,4883.225,686.984,6.111,,
ARCB,201.909,318.491,84.392,13,,
ETR1,3.519,3566.856,326.997,1.251,,
ARW,300.103,2891.801,957.348,19.3,,
ARTW,0.003,2.35,-1.497,0.125,,
AB.,0.037,25.71,2.132,,,
ASH,232,1501,264,4.7,,
ALOT,4.249,8.994,2.433,0.365,,
ATRO,31.906,211.854,50.156,2.828,,
ACLLF,1140,9347,1332,6.556,,
SO7,46,5923,885,4.446,,
REX,179.658,10.688,-6.773,0.128,,
ADSK,1774.7,2046.8,366.8,10.1,,
ADP,1949.2,2002.2,3080.8,58,,
AVY,253.7,1598.2,823.7,30,,
AVT,546.105,1419.922,611.451,15.5,,
AZZ,36.687,115.992,107.132,4.343,,
BTI,3345.434,50067.618,13588.345,64.099,,
BRT,22.699,170.071,0.528,0.013,,
BMI,48.871,,62.148,1.567,,
BCPC,65.672,253.396,104.288,1.424,,
PTVCB,67.851,0.127,7.029,0.5,,
BLL,1798,6518,1176,18.3,,
BPOP,388.311,1146.637,1457.182,8.56,,369.099
BOH,299.105,118.775,368.584,2.124,,89.682
BK,4830,25273,7730,48.4,,4360
B,93.805,846.391,244.108,5.749,,
BRN,4.613,0,-12.429,0.043,,
GOLD,3314,5161,3662,22.5,,
BSET,19.687,0,2.772,2.555,,
BAX,3335,5319,1937,50,,
AIT,108.219,908.85,267.682,6.65,,
BDX,536,18081,2894,70.093,,
BELFB,72.289,150.478,7.942,6.935,,
VZ,2594,119105,30303,135,,
BCE,145,22415,5708,52.1,,
BRK.B,64175,98830,105481,391.539,,
BBY,2229,3395,2053,125,,
BIO,660.672,189.597,255.36,8.12,,
NIMU,0.353,0,-0.446,0,,
BKH,9.777,3144.281,406.042,2.944,,
HRB,2661.914,3158.439,183.083,80.5,,
VAL,97.2,5975.3,-469.4,5.8,,
BRRE,3.212,0.025,-2.096,,,
BA,9485,20940,5952,161.1,,
RHI,270.478,202.2,620.39,221.6,,
0141A,250,1801,113,4,,
RFP,3,505,46,6.7,,
BWL.A,0.27,0,3.216,0.5,,
BRC,279.072,0,162.428,6.1,,
BAM,6778,137100,11409,151.9,,
BRID,3.478,12.164,8.827,0.564,,
BGGSQ,29.569,194.969,0.459,5.2,,
BMY,12346,44059,6738,30,,
TU,535,17142,3020,65.6,,
BP,22472,64892,15421,70.1,,
BF.B,675,2306,1102,4.8,,
CAL,45.218,827.423,127.381,11.4,,
BC,320.3,1138.1,494.6,12.828,,
MTRN,125.007,36.775,92.309,2.6,,
BRK3,1984,24272,8071,40.75,,
MTZ,71.427,1468.583,577.962,21,,
UIS,538.8,649.7,249.4,20.8,,
BUKS,16.793,45.422,8.306,0.368,,
CAE,946.5,3106,508.6,10.5,,
RAMP,717.811,11.449,-172.321,1.15,,
CI,4619,32358,9020,73.7,,
CNA,242,2980,1174,5.9,,
CSPI,18.099,0.984,-0.826,0.114,,
CSX,958,16486,4874,20.908,,
CTS,100.241,124.626,61.4,3.57,,
TLS,6.751,175.666,5.025,0.73,,
CVV,8.664,11.377,-4.985,0.172,,
CBT,169,1024,351,4.5,,
CACI,72.028,1618.093,392.867,22.1,,
CAMP,107.404,201.367,-8.234,1.08,,
0176A,2457,14290,2428,13.24,,2456
CWT,42.653,799.682,115.692,1.207,,
CPB,31,7103,1192,19,,
MLFNF,97.285,742.442,133.298,13,,
CNI,64,12245,5624,25.975,,
CP,133,8443,3124,12.694,,
CDNAF,205.5,5601.2,1474.1,31.574,,
STZ,81.4,11694.4,2699,9,,
CAJ,3798.496,4058.106,1607.193,187.041,,
CPTP,1.262,0,3.329,0.003,,
CAH,2531,7579,1678,49.5,,
CSL,,1403.2,673.6,13,,
ASWRF,1.562,0,-0.656,,,
DUK8,48,18754,2301,,,
CRS,27,550.6,231.2,5.1,,
CASY,78.275,714.502,395.467,37.153,,
CTAM,6.433,294.491,-8.821,0.873,,
CAT,8284,26742,9624,102.3,,
CATO,11.824,147.184,37.171,10.06,,
CVCO,241.826,23.448,89.907,5,,
RFIL,12.54,0,4.559,0.281,,
BBVA1,1149.734,3786.596,1277.527,10.56,,951.623
LUMN,1690,33736,3780,42.5,,
MGLN,325.249,724.542,95.657,10.1,,
CMD,44.535,220.851,120.21,2.775,,
CHE,6.158,176.656,271.346,16.641,,
JPM,21704,261720,63197,256.981,,26795
CPK,6.985,450.064,104.836,0.955,,
CLSN,6.875,9.107,-20.566,0.029,,
CVX,5686,26299,100,48.2,,
CVR,1.43,0,0.491,0.217,,
EAT,13.4,1206.6,202.8,56.147,,
CHD,155.7,1954.2,850.5,4.8,,
CHDN,96.2,1491.1,233.8,5.5,,
CBB,11.6,1975.8,92.8,4.4,,
CIN1,17,2640,364,,,
CTAS,145.402,2662.4,1196.416,40,,
IHRT,400.3,6612.707,632.428,11.4,,
CLF,352.6,2113.8,438.5,2.372,,
CLX,,2294,1107,8.8,,
COKE,9.614,1145.088,191.331,16.9,,
KO,6480,28627,10541,86.2,,
CDE,,313.385,-344.81,2.155,,
COHR,305.833,392.238,86.458,5.184,,
COHU,155.194,375.395,-23.037,3.2,,
CL,883,7824,3759,34.3,,
CCOM,0.193,0.352,2.642,,,
CGP1,0,654,220,0,,
CCF,47.771,0,48.46,0.726,,
AON,790,7647,2634,50,,
CMCSA,5500,106822,21305,190,,
CMA,973,6961,1937,7.948,,468
CBSH,491.615,29.442,684.994,4.835,,103.392
C,23967,214843,40431,200,,
CMC,,1227.214,392.49,11.524,,
JCS,13.929,0.244,0.008,0.139,,
CAR,686,16695,785,30,,
DXC,3679,9735,1002,138,,
CTG,10.781,20.639,7.412,3.95,,
CMTL,45.576,165,51.798,2.013,,
CAG,553.3,9106.9,1805.6,16.5,,
RAVE,2.264,1.584,0.416,0.045,,
SSTK,303.261,47.313,20.155,1.116,,
NU1,0,3519.736,681.649,1.343,,
TCI,51.179,419.908,9.113,0,,
ED,981,19336,2676,14.89,,
BH,67.772,316.453,5.616,10.906,,
CTO,6.475,212.583,12.221,0.015,,
CMS,140,12064,1239,8.789,,
CUO,0.178,3.991,-7.806,0.46,,
CLR,39.4,5329.512,1256.877,1.26,,
CTB,391.332,364.519,197.448,8.72,,
COO,89,1262.6,586.5,12,,
TAP,523.4,8229,1500.9,17.7,,
CBYDF,0,0,34.112,0.177,,
GLW,2434,8179,1752,49.5,,
CNIG,0.314,37.663,7.444,0.064,,
CUZ,15.603,2253.385,148.766,0.331,,
CBRL,36.884,400,282.844,73,,
CR,393.9,933.5,493.8,13,,
CRD.A,51.802,235.472,67.684,9,,
AGC1,1227,17388,2125,9.7,,
OMF,1227,17388,2117,9.7,,
CCK,607,7985,1195,33,,
CRWS,0.282,7.537,7.737,0.138,,
CUB,66.147,251.104,81.508,6.2,,
CFR,581.857,554.45,630.637,4.659,,129.78
CULP,69.79,31.766,6.074,1.399,,
CMI,1129,1946,2505,61.615,,
CW,391.033,916.745,403.953,9.1,,
GTBP,0.028,0,-11.457,0.002,,
WEN,300.195,3636.145,265.297,13.3,,
DAN,508,2476,624,36.3,,
DHR,19912.3,22155.8,3362.4,60,,
DAIO,13.936,1.178,-1.278,0.096,,
7183B,11,170.349,68.69,9.7,,
DWSN,26.271,6.036,-14.796,0.455,,
TGT,2577,13613,4641,368,,
AES5,36.5,1223.3,147.5,0.633,,
DE,3857,30229,5492,73.489,,
DE1,632.6,21052.4,1500.8,1.666,,
DAL,2882,14167,6618,91.224,,
DLX,73.62,917.085,317.467,6.352,,
DTE,93,16062,1725,10.7,,
ATGE,299.445,398.094,215.736,9.056,,
DEWY,0.824,0,0.967,,,
PYYX,170.208,932.159,25.663,3.385,,
DBD,280.9,2216.5,140.2,22,,
NSYS,0.351,19.084,0.224,0.784,,
DDS,277.077,599.087,167.492,38,,
DIOD,258.39,92.084,180.169,7.271,,
DIS,5418,38275,12009,223,,
DXYN,0.769,103.79,2.952,1.526,,
DG,240.32,10731.121,2333.304,143,,
WFSTF,2.1,128.4,-46.9,2.21,,
D,166,34266,5593,19.1,,
DCI,177.8,584.4,394.7,14.1,,
RRD,190.8,1888.2,246,36.4,,
DMLP,15.339,2.185,52.765,0.034,,
DOV,397.253,3115.092,1048.662,24,,
DD,1540,14033,2788,35,,
OMC,4305.7,5898.7,2122.3,70,,
ASNAQ,328,1338.6,-125.4,53,,
DCO,39.584,318.452,59.244,2.8,,
DUK,311,56417,5745,28.793,,
DNB,98.6,3890.1,-9,4.037,,
FLS,670.98,1517.5,431.529,17,,
DY,54.56,888.007,115.661,15.23,,
